,name,path,variable,size,seed,lr,iter,constrain,dist_weight,ale_l2,ale_l1,ale_max_diff,ale_rho,pd_l2,pd_l1,pd_max_diff,pd_rho
0,titanic,results_final/titanic/Age_32_7_gradient_0.1_50_10.0/,Age,32,7,0.1,50,False,10.0,0.0015526047566160645,0.0015526047566160645,0.004276552810879214,1.0,0.0027750616,0.0027750616,0.0051837564,1.0
0,bike,results_final/bike/atemp_128_7_gradient_0.1_50_0.001/,atemp,128,7,0.1,50,False,0.001,0.1072790223132234,0.1072790223132234,0.1839098653264169,0.13840155945419103,0.18445002,0.18445002,0.28626105,-0.9272727272727272
0,xor,results_final/xor/x1_32_8_gradient_0.1_50_0.01/,x1,32,8,0.1,50,False,0.01,0.09879418039583959,0.09879418039583959,0.17715923598965733,-0.5916775032509752,0.089809366,0.089809366,0.19254148,-0.8285714285714286
0,heart,results_final/heart/age_128_7_gradient_0.1_50_0.01/,age,128,7,0.1,50,False,0.01,0.01738247365503503,0.01738247365503503,0.02744527184279523,-0.188556566970091,0.018135114,0.018135114,0.03387189,-0.9506493506493506
0,xor,results_final/xor/x1_32_8_gradient_0.1_50_0.1/,x1,32,8,0.1,50,False,0.1,0.08382606692964567,0.08382606692964567,0.14841046980335254,-0.5396618985695708,0.090212755,0.090212755,0.17258886,-0.751948051948052
0,adult,results_final/adult/age_128_6_gradient_0.1_50_0.001/,age,128,6,0.1,50,False,0.001,0.07639446350104992,0.07639446350104992,0.15599905186284946,-0.5542560103963613,0.083376706,0.083376706,0.1917738,-0.9480519480519479
0,titanic,results_final/titanic/Fare_32_7_gradient_0.1_50_10.0/,Fare,32,7,0.1,50,False,10.0,0.0024394131454773173,0.0024394131454773173,0.0040035875632941954,0.935119887165021,0.0015596094,0.0015596094,0.0034730732,1.0
0,titanic,results_final/titanic/Age_64_7_gradient_0.1_50_0.0/,Age,64,7,0.1,50,False,0.0,0.1401084561107418,0.1401084561107418,0.3159611106364021,-0.875243664717349,0.15460742,0.15460742,0.45615557,-0.8675324675324675
0,bike,results_final/bike/atemp_128_7_gradient_0.1_50_0.01/,atemp,128,7,0.1,50,False,0.01,0.10810368164242966,0.10810368164242966,0.18808829430413426,0.13840155945419103,0.1849298,0.1849298,0.28596655,-0.9259740259740258
0,heart,results_final/heart/age_128_7_gradient_0.1_50_0.1/,age,128,7,0.1,50,False,0.1,0.0114111918094949,0.0114111918094949,0.020457630588740033,-0.1443433029908973,0.01701036,0.01701036,0.029507518,-0.9584415584415583
